Name,Genre,Description,Year,Runtime
Das Cabinet des Dr. Caligari,"Horror, Mystery, Thriller            ","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",1920,76 min
Nosferatu,"Fantasy, Horror            ",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,1922,94 min
Safety Last!,"Action, Comedy, Thriller            ",A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,1923,74 min
The Gold Rush,"Adventure, Comedy, Drama            ","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",1925,95 min
The General,"Action, Adventure, Comedy            ","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",1926,67 min
Metropolis,"Drama, Sci-Fi            ","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",1927,153 min
Sunrise: A Song of Two Humans,"Drama, Romance            ","A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme.",1927,94 min
"Steamboat Bill, Jr.","Action, Comedy, Drama            ",The effete son of a cantankerous riverboat captain comes to join his father's crew.,1928,70 min
The Cameraman,"Comedy, Drama, Family            ","Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.",1928,76 min
La passion de Jeanne d'Arc,"Biography, Drama, History            ","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928,110 min
Un chien andalou,"Short, Fantasy, Horror            ","Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery.",1929,16 min
Animal Crackers,"Comedy, Family, Musical            ",Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,1930,97 min
L'âge d'or,"Comedy, Drama            ","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",1930,60 min
City Lights,"Comedy, Drama, Romance            ","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,87 min
Dracula,"Drama, Fantasy, Horror            ","Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night.",1931,75 min
Frankenstein,"Drama, Horror, Sci-Fi            ",Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,1931,70 min
Little Caesar,"Action, Crime, Drama            ",A small-time criminal moves to a big city to seek bigger fortune.,1931,79 min
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller            ","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931,117 min
Monkey Business,"Comedy, Family, Musical            ","On a transatlantic crossing, The Marx Brothers get up to their usual antics and manage to annoy just about everyone on board the ship.",1931,77 min
The Public Enemy,"Crime, Drama            ",An Irish-American street punk tries to make it big in the world of organized crime.,1931,83 min
Freaks,"Drama, Horror            ","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932,64 min
Island of Lost Souls,"Film-Noir, Horror, Sci-Fi            ","A mad doctor conducts ghastly genetic experiments on a remote island in the South Seas, much to the fear and disgust of the shipwrecked sailor who finds himself trapped there.",1932,70 min
Love Me Tonight,"Comedy, Musical, Romance            ","A Parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat, only to fall in love with an aloof young princess.",1932,104 min
Scarface,"Action, Crime, Drama            ","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",1932,93 min
The Mummy,"Fantasy, Horror            ",An Egyptian mummy searches Cairo for the girl he thinks is his long-lost princess.,1932,73 min
The Old Dark House,"Adventure, Comedy, Drama            ","Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate.",1932,72 min
42nd Street,"Comedy, Drama, Musical            ","When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show.",1933,89 min
Duck Soup,"Comedy, Musical            ","Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",1933,69 min
